,cube10_cluster0,cube15_cluster0,cube15_cluster1,cube16_cluster0,cube16_cluster1,cube17_cluster0,cube17_cluster1,cube18_cluster0,cube1_cluster0,cube1_cluster1,cube23_cluster0,cube24_cluster0,cube25_cluster0,cube25_cluster1,cube26_cluster0,cube2_cluster0,cube31_cluster0,cube32_cluster0,cube33_cluster0,cube33_cluster1,cube34_cluster0,cube3_cluster0,cube3_cluster1,cube41_cluster0,cube42_cluster0,cube43_cluster0,cube44_cluster0,cube46_cluster0,cube46_cluster1,cube47_cluster0,cube47_cluster1,cube47_cluster2,cube48_cluster0,cube50_cluster0,cube51_cluster0,cube52_cluster0,cube53_cluster0,cube56_cluster0,cube59_cluster0,cube59_cluster1,cube59_cluster2,cube60_cluster0,cube61_cluster0,cube61_cluster1,cube61_cluster2,cube62_cluster0,cube62_cluster1,cube62_cluster2,cube62_cluster3,cube66_cluster0,cube66_cluster1,cube67_cluster0,cube68_cluster0,cube69_cluster0,cube8_cluster0,cube8_cluster1,cube9_cluster0
cube23_cluster0,2.3039230740213994,0.6979177802075668,1.0957463015387057,1.537059064200589,1.0519525332301884,2.393138571282721,3.590733774272472,3.864104587256619,2.325275163555641,2.2755097632253003,0.0,1.0978634589962897,2.067779455503205,4.443134153640695,4.443134153640695,2.2230375853651734,0.8842023872008057,1.1904671712698927,1.9035623632548313,3.46760247264594,3.46760247264594,2.576965729956659,3.0980498974179778,1.4698466451499226,1.7579781898724862,2.3316460376328543,3.5196905746648115,8.102067231467935,6.777453689105284,5.73708550328536,6.617182135761257,7.0838918696187685,5.429996061319516,2.070980752125427,2.305174256161728,2.81543037507081,3.658321314707379,5.823591561260933,2.80437814640671,3.6772123802176604,3.514655969475414,2.973550640235656,3.358901187843275,4.754374355224196,4.8913385312929005,4.321439935326772,4.27758773336569,4.937650714547743,4.657499805290431,3.284990530048101,3.5368779667951564,3.2665532225763965,3.681405402761668,4.5326147686176315,1.6127096944608355,2.1888774386734595,1.7501118293440867
cube24_cluster0,1.5542447673591093,1.41809416677575,1.7549307689642304,0.7783827124494339,1.618160464724437,1.3824534973875435,2.6814045486194478,2.8054631391396017,2.7964964316922667,2.4951173305372762,1.0978634589962897,0.0,0.9833479356079281,3.4655190262555187,3.4655190262555187,2.252153762729537,1.4034624064986179,0.7274278344113327,0.9738876392844862,2.526172853021399,2.526172853021399,2.2611397041289156,2.436753625352973,1.7860910133121861,1.3634009150359383,1.5655444271313592,2.692153378262298,8.431888580060548,7.275208635963822,6.13860504319663,6.9627630776273515,7.457008023888209,5.857515412356907,2.320723058520838,1.9927732607918278,2.1643660473718214,2.874007914299383,6.271230104189102,3.0334041905825018,3.845132807337991,3.5042936795991833,2.84577899878782,2.962693766526031,3.9865510252736978,4.262521107493577,3.7584988652805422,3.620840947401927,4.306992745605233,4.004137170509168,3.426892834203562,3.510822401857622,3.113265892742943,3.2588047394325916,3.8807377767245783,2.008642192377069,2.4925858932508618,1.4255759376627837
cube25_cluster0,1.304157666195013,2.2845281693407338,2.6188977145733734,1.0067951159540127,2.4649366138569926,0.7150124187748881,1.9125051502854988,1.8686605928646731,3.423607829931862,2.930006531868937,2.067779455503205,0.9833479356079281,0.0,2.6769018510653058,2.6769018510653058,2.6171077408320325,2.2929060372274956,1.3851069016729711,0.8231143221933157,1.8064752293873976,1.8064752293873976,2.3590852876811375,2.1791660930042163,2.5458001983877354,1.7532087500497506,1.4330019635807025,2.199725713626701,8.794754153646059,7.796850895543304,6.607690417515572,7.344076861468537,7.855127577300437,6.357780858765664,2.979427283318184,2.2860420141838746,2.0420261906108452,2.4430399408616137,6.776125881984458,3.547691816805918,4.196811679627217,3.808626024498084,3.115061175978631,2.9679677286450628,3.4451036046240486,3.849634779777783,3.4470078055673077,3.290569786984722,3.8930098765903067,3.565508207400258,3.802796086525528,3.8069459805705943,3.294558395476085,3.174682198916362,3.4850922421369916,2.6426572870835376,2.9668225976363796,1.7093290688427152
cube25_cluster1,3.1315422307550587,4.654925056434469,4.615079716975379,3.292085121781041,4.482043134758263,2.549300431233038,2.5518655378402832,1.9906264004592307,5.41145084436859,4.822947500087441,4.443134153640695,3.4655190262555187,2.6769018510653058,0.0,0.0,4.531885741008551,4.579127119397147,3.7247151648828964,3.111142217363999,2.8439106456608028,2.8439106456608028,4.224088120284518,3.3772417476126804,4.699927167936933,3.8207113224042333,3.237985299794504,2.7743947437916683,9.5589788286962,8.863794636464409,7.7618102664584105,8.286779547682615,8.592056460779018,7.571130362862886,4.966408519052775,4.085432113359598,3.4800809638476697,3.360070439448633,8.003856103768769,5.324675863593455,5.56873486582635,5.630498038784101,4.743830742758935,4.331700052172601,4.058633576436879,3.9761970610420545,4.287981070267336,4.218959586147733,4.01935533657961,4.245491937452631,5.37139237721149,5.592863520722164,4.794957406589816,4.366669025715359,4.037717923217201,4.713027445081419,5.216326631904774,3.787125044133573
cube26_cluster0,3.1315422307550587,4.654925056434469,4.615079716975379,3.292085121781041,4.482043134758263,2.549300431233038,2.5518655378402832,1.9906264004592307,5.41145084436859,4.822947500087441,4.443134153640695,3.4655190262555187,2.6769018510653058,0.0,0.0,4.531885741008551,4.579127119397147,3.7247151648828964,3.111142217363999,2.8439106456608028,2.8439106456608028,4.224088120284518,3.3772417476126804,4.699927167936933,3.8207113224042333,3.237985299794504,2.7743947437916683,9.5589788286962,8.863794636464409,7.7618102664584105,8.286779547682615,8.592056460779018,7.571130362862886,4.966408519052775,4.085432113359598,3.4800809638476697,3.360070439448633,8.003856103768769,5.324675863593455,5.56873486582635,5.630498038784101,4.743830742758935,4.331700052172601,4.058633576436879,3.9761970610420545,4.287981070267336,4.218959586147733,4.01935533657961,4.245491937452631,5.37139237721149,5.592863520722164,4.794957406589816,4.366669025715359,4.037717923217201,4.713027445081419,5.216326631904774,3.787125044133573
cube2_cluster0,1.6329587531980259,1.735727523386693,2.1355536321083535,1.8378129126787859,2.087896588936219,2.4150788936650893,3.2277873137349737,3.667584398408964,1.1546466833852476,0.8278003376278142,2.2230375853651734,2.252153762729537,2.6171077408320325,4.531885741008551,4.531885741008551,0.0,2.929320611435505,2.7844301107093945,2.9815729569933125,4.062831533748806,4.062831533748806,1.0355679811383551,2.0521178918998486,3.4677782930914596,3.4306332706702705,3.6213843874774874,4.407691621378444,9.024666793469404,7.893447375108343,7.027030023915253,7.702261464068582,8.148655618408576,6.817801183822209,4.12132327002501,4.086756677240055,4.259014356583441,4.776735816489545,7.191040126878326,4.858897693283995,5.316258213825402,5.248724133110618,4.861460214323368,5.009652450911041,5.815179974330877,5.720347749571671,5.484023262630804,5.646955287010715,5.743478648400944,5.595573064348819,5.143292813021346,5.272813772024822,5.0336419181849585,5.206705176889408,5.699032596691022,1.0044877774617997,1.780581392592432,0.9898723526571697
cube31_cluster0,2.803466917973232,1.5172528746284473,1.6357627113393216,2.002353665735541,1.5920671198814211,2.710546773956447,3.9286750327008417,4.072480120449948,3.0097700920173986,3.013580803153402,0.8842023872008057,1.4034624064986179,2.2929060372274956,4.579127119397147,4.579127119397147,2.929320611435505,0.0,1.0155803847106581,1.8600393515520879,3.463646287304848,3.463646287304848,3.1445272613863677,3.4878917177708124,0.6296883854758896,1.2554827830432442,2.0351213458468904,3.3727943638236457,7.869288496455423,6.522842512647413,5.416044882923408,6.368014737665088,6.86302208766226,5.086995296227578,1.2609244772138564,1.6925093827570328,2.3911231346993924,3.378688580655973,5.4864085697144915,2.216809391696585,3.369853396150218,2.9953980638022144,2.4377849381602252,2.918713599439761,4.4678646868714935,4.77138368736971,4.106823859465438,3.9001732178110884,4.81980398618996,4.475508034313779,2.8422913910587315,3.007225550767625,2.8205640286265816,3.312541163667431,4.276974491531813,2.3653579738889428,2.835235021247487,2.3954014098074916
cube32_cluster0,2.1717639141030047,1.7562087095642283,1.933277290768341,1.4644022352841684,1.8042655905198468,1.918624984077847,3.164065786438486,3.1801343760795024,3.182582876494609,3.011980258519001,1.1904671712698927,0.7274278344113327,1.3851069016729711,3.7247151648828964,3.7247151648828964,2.7844301107093945,1.0155803847106581,0.0,0.8590448106479026,2.532754162582336,2.532754162582336,2.7953161288134485,2.9585068190369688,1.2120223318625305,0.7002657558118456,1.1585011717945788,2.4749359961930635,8.377253651636394,7.166692000323714,5.982994166159492,6.862597518417873,7.374486953894224,5.673174003650382,1.6992104409310642,1.3489514933316593,1.6770701131538228,2.5490921426092585,6.088842265524586,2.45743555385585,3.4433727723391154,3.0474935670320984,2.2514410208720728,2.436458476162581,3.7455989886423993,4.036995560920994,3.4085640095008323,3.2189647212949994,4.085261136168891,3.752314174443493,2.937503618177085,3.045652361573482,2.583894943998916,2.792834838182855,3.546969684778626,2.481517403252194,2.9061507829867685,2.0543999981600556
cube33_cluster0,1.9330307197240115,2.326392733258444,2.586705843517852,1.4759622150011005,2.4324856120576257,1.4740528799026609,2.5756317633637673,2.4572133386993253,3.618168756447183,3.2750161541640397,1.9035623632548313,0.9738876392844862,0.8231143221933157,3.111142217363999,3.111142217363999,2.9815729569933125,1.8600393515520879,0.8590448106479026,0.0,1.7445658254136913,1.7445658254136913,2.8006327630558903,2.758182020654644,1.9746359552510069,1.042322119127813,0.7061255259793072,1.8601296757607404,8.758364829621422,7.67977691357728,6.443059136227998,7.2435872048947285,7.7790005626626915,6.160028194024099,2.343880448475703,1.5622316804631282,1.3640719775165238,1.9600169647583465,6.5785853345306675,2.8942888369772475,3.6666491078001457,3.2649199042886354,2.4107884800137405,2.296421249231952,3.138213581403754,3.548983992213208,2.9493880888215656,2.754901734040556,3.59815486142292,3.214432384708082,3.2037614876488343,3.2585314763303113,2.635797914236913,2.5625365940209646,3.038980487859942,2.887136430527477,3.174063192036827,2.1499711192589137
cube33_cluster1,2.696548165000834,3.7831488914092386,4.185951366145659,2.7168984748330867,4.044544866175802,2.1671424130935937,2.4522101330486916,1.964404475838668,4.92062968486536,4.368935531592074,3.46760247264594,2.526172853021399,1.8064752293873976,2.8439106456608028,2.8439106456608028,4.062831533748806,3.463646287304848,2.532754162582336,1.7445658254136913,0.0,0.0,3.7057697499112128,3.520609142317303,3.5446715235527964,2.541362157157475,1.8135653384217039,1.4736160092389596,9.700503439062114,8.826401168161437,7.548402375943958,8.145531586114156,8.658689386213581,7.313565189674379,3.785391670382506,2.798338826401375,2.1086198724558223,1.396424924764854,7.718263869275932,4.049077706566116,4.2778769524778975,4.268341086522503,3.324509344217088,2.83869131313378,2.400009825783402,3.414629510234418,2.5198924666451177,2.2655411450594296,3.48686098427293,2.8871581707066847,4.067363861536368,4.266968962088666,3.3607641169623297,2.907179099877309,2.7163990026008786,4.159714006087702,4.048802901729041,3.2531479385945943
