pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
544150,CU,cube15_cluster0,SV,cube16_cluster0,True
544150,FC,cube51_cluster0,FF,cube60_cluster0,False
547001,FF,cube59_cluster0,SI,cube59_cluster0,True
547179,CH,cube59_cluster0,FC,cube51_cluster0,False
547179,CH,cube59_cluster0,FF,cube60_cluster0,True
547179,CH,cube59_cluster0,SI,cube60_cluster0,True
547179,CU,cube9_cluster0,ST,cube16_cluster0,True
547179,FC,cube51_cluster0,FF,cube60_cluster0,False
547179,FC,cube51_cluster0,SI,cube60_cluster0,False
547179,FF,cube60_cluster0,SI,cube60_cluster0,True
547179,SL,cube24_cluster0,ST,cube16_cluster0,False
547184,CH,cube59_cluster0,FF,cube59_cluster0,True
547184,CH,cube59_cluster0,SI,cube60_cluster0,False
547184,FF,cube59_cluster0,SI,cube60_cluster0,True
547973,FF,cube60_cluster0,SI,cube60_cluster0,True
548384,CH,cube60_cluster0,SI,cube60_cluster0,True
552640,FF,cube51_cluster0,FS,cube67_cluster0,False
552640,FF,cube51_cluster0,SI,cube60_cluster0,True
552640,FS,cube67_cluster0,SI,cube60_cluster0,True
554340,CH,cube60_cluster0,FF,cube61_cluster0,False
554340,CH,cube60_cluster0,SI,cube61_cluster0,False
554340,CU,cube17_cluster0,ST,cube17_cluster0,True
554340,FF,cube61_cluster0,SI,cube61_cluster0,True
554430,CU,cube10_cluster0,ST,cube17_cluster0,False
554430,FC,cube52_cluster0,FF,cube61_cluster0,False
554430,FF,cube61_cluster0,FS,cube68_cluster0,True
554430,FF,cube61_cluster0,SI,cube68_cluster0,True
554430,FS,cube68_cluster0,SI,cube68_cluster0,True
554431,FF,cube60_cluster0,SI,cube60_cluster0,True
570632,CH,cube67_cluster0,FF,cube67_cluster0,True
570632,CH,cube67_cluster0,FS,cube66_cluster0,True
570632,CH,cube67_cluster0,SI,cube67_cluster0,True
570632,FF,cube67_cluster0,FS,cube66_cluster0,True
570632,FF,cube67_cluster0,SI,cube67_cluster0,True
570632,FS,cube66_cluster0,SI,cube67_cluster0,True
